destination,destination_code
al,0.038461538461538464
am,0.07692307692307693
ap,0.11538461538461539
ba,0.15384615384615385
ce,0.19230769230769232
df,0.23076923076923078
es,0.2692307692307693
go,0.3076923076923077
ma,0.34615384615384615
mg,0.38461538461538464
ms,0.42307692307692313
mt,0.46153846153846156
pa,0.5
pb,0.5384615384615385
pe,0.576923076923077
pi,0.6153846153846154
pr,0.6538461538461539
rj,0.6923076923076923
rn,0.7307692307692308
ro,0.7692307692307693
rr,0.8076923076923077
rs,0.8461538461538463
sc,0.8846153846153847
se,0.9230769230769231
sp,0.9615384615384616
to,1.0
ac,0.0
